"序号","公司名称","国家","城市","官网","客户类型","主营产品","产品匹配点","来源链接","WhatsApp状态","WhatsApp/电话","邮箱状态","邮箱","LinkedIn","联系人","职位","AI评分","优先级","AI分析","首封英文开发信","WhatsApp开场白","CRM状态","下次跟进时间","备注"
"17","Wonderful Kitchens","澳洲","Sydney","https://wonderfulkitchens.com.au/","Kitchen Company / Designer","定制厨房、橱柜、细木作","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://wonderfulkitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Wonderful%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","80","B","Wonderful Kitchens 的公开业务与 定制厨房、橱柜、细木作 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Wonderful Kitchens and custom cabinetry supply

Hi Wonderful Kitchens team,

I noticed that Wonderful Kitchens works with 定制厨房、橱柜、细木作. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Wonderful Kitchens team, this is [Your Name]. I saw that your company works with 定制厨房、橱柜、细木作. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"18","Farquhar Kitchens","澳洲","Adelaide","https://farquhar.com.au/","Kitchen Company / Designer","厨房、衣柜、洗衣房、定制家具","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://farquhar.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Farquhar%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","82","B","Farquhar Kitchens 的公开业务与 厨房、衣柜、洗衣房、定制家具 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Farquhar Kitchens and custom cabinetry supply

Hi Farquhar Kitchens team,

I noticed that Farquhar Kitchens works with 厨房、衣柜、洗衣房、定制家具. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Farquhar Kitchens team, this is [Your Name]. I saw that your company works with 厨房、衣柜、洗衣房、定制家具. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"19","Stegbar","澳洲","National","https://www.stegbar.com.au/","Builder Supplier","门窗、衣柜、淋浴屏","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.stegbar.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Stegbar","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","79","B","Stegbar 的公开业务与 门窗、衣柜、淋浴屏 相关，客户类型为 Builder Supplier，适合按 B 级客户进入 CRM。","Subject: Stegbar and custom cabinetry supply

Hi Stegbar team,

I noticed that Stegbar works with 门窗、衣柜、淋浴屏. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Stegbar team, this is [Your Name]. I saw that your company works with 门窗、衣柜、淋浴屏. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"20","Nobby Kitchens","澳洲","Sydney","https://www.nobbykitchens.com.au/","Kitchen Company / Designer","厨房翻新、橱柜、设计服务","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.nobbykitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Nobby%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","79","B","Nobby Kitchens 的公开业务与 厨房翻新、橱柜、设计服务 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Nobby Kitchens and custom cabinetry supply

Hi Nobby Kitchens team,

I noticed that Nobby Kitchens works with 厨房翻新、橱柜、设计服务. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Nobby Kitchens team, this is [Your Name]. I saw that your company works with 厨房翻新、橱柜、设计服务. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"21","Premier Kitchens","澳洲","Sydney","https://premierkitchens.com.au/","Kitchen Company / Designer","定制厨房、橱柜、joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://premierkitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Premier%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","79","B","Premier Kitchens 的公开业务与 定制厨房、橱柜、joinery 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Premier Kitchens and custom cabinetry supply

Hi Premier Kitchens team,

I noticed that Premier Kitchens works with 定制厨房、橱柜、joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Premier Kitchens team, this is [Your Name]. I saw that your company works with 定制厨房、橱柜、joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"22","The Maker Designer Kitchens","澳洲","Perth","https://www.themaker.com.au/","Kitchen Company / Designer","设计师厨房、橱柜、joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.themaker.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=The%20Maker%20Designer%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","79","B","The Maker Designer Kitchens 的公开业务与 设计师厨房、橱柜、joinery 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: The Maker Designer Kitchens and custom cabinetry supply

Hi The Maker Designer Kitchens team,

I noticed that The Maker Designer Kitchens works with 设计师厨房、橱柜、joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi The Maker Designer Kitchens team, this is [Your Name]. I saw that your company works with 设计师厨房、橱柜、joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"23","Kitchen Shack","澳洲","Melbourne","https://www.kitchenshack.com.au/","Kitchen Company / Importer","厨房橱柜、平价厨房、翻新","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.kitchenshack.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Kitchen%20Shack","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Kitchen Shack 的公开业务与 厨房橱柜、平价厨房、翻新 相关，客户类型为 Kitchen Company / Importer，适合按 B 级客户进入 CRM。","Subject: Kitchen Shack and custom cabinetry supply

Hi Kitchen Shack team,

I noticed that Kitchen Shack works with 厨房橱柜、平价厨房、翻新. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Kitchen Shack team, this is [Your Name]. I saw that your company works with 厨房橱柜、平价厨房、翻新. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"24","Mint Kitchen Group","澳洲","Melbourne","https://mintkitchengroup.com.au/","Kitchen Company / Designer","厨房、浴室、洗衣房、室内设计","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://mintkitchengroup.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Mint%20Kitchen%20Group","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Mint Kitchen Group 的公开业务与 厨房、浴室、洗衣房、室内设计 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Mint Kitchen Group and custom cabinetry supply

Hi Mint Kitchen Group team,

I noticed that Mint Kitchen Group works with 厨房、浴室、洗衣房、室内设计. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Mint Kitchen Group team, this is [Your Name]. I saw that your company works with 厨房、浴室、洗衣房、室内设计. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"25","Nouvelle Kitchens","澳洲","Sydney","https://www.nouvelle.com.au/","Kitchen Company / Designer","厨房、浴室、洗衣房、翻新","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.nouvelle.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Nouvelle%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Nouvelle Kitchens 的公开业务与 厨房、浴室、洗衣房、翻新 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Nouvelle Kitchens and custom cabinetry supply

Hi Nouvelle Kitchens team,

I noticed that Nouvelle Kitchens works with 厨房、浴室、洗衣房、翻新. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Nouvelle Kitchens team, this is [Your Name]. I saw that your company works with 厨房、浴室、洗衣房、翻新. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"26","Kitchen Craftsmen","澳洲","Perth","https://www.kitchencraftsmen.com.au/","Kitchen Company / Designer","厨房翻新、橱柜、收纳","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.kitchencraftsmen.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Kitchen%20Craftsmen","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","77","B","Kitchen Craftsmen 的公开业务与 厨房翻新、橱柜、收纳 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Kitchen Craftsmen and custom cabinetry supply

Hi Kitchen Craftsmen team,

I noticed that Kitchen Craftsmen works with 厨房翻新、橱柜、收纳. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Kitchen Craftsmen team, this is [Your Name]. I saw that your company works with 厨房翻新、橱柜、收纳. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"27","Carlisle Homes","澳洲","Melbourne","https://www.carlislehomes.com.au/","Builder","住宅建造、厨房和收纳配置","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.carlislehomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Carlisle%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Carlisle Homes 的公开业务与 住宅建造、厨房和收纳配置 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Carlisle Homes and custom cabinetry supply

Hi Carlisle Homes team,

I noticed that Carlisle Homes works with 住宅建造、厨房和收纳配置. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Carlisle Homes team, this is [Your Name]. I saw that your company works with 住宅建造、厨房和收纳配置. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"28","G.J. Gardner Homes Australia","澳洲","National","https://www.gjgardner.com.au/","Builder","住宅 builder，厨房、衣柜、木门需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.gjgardner.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=G.J.%20Gardner%20Homes%20Australia","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","G.J. Gardner Homes Australia 的公开业务与 住宅 builder，厨房、衣柜、木门需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: G.J. Gardner Homes Australia and custom cabinetry supply

Hi G.J. Gardner Homes Australia team,

I noticed that G.J. Gardner Homes Australia works with 住宅 builder，厨房、衣柜、木门需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi G.J. Gardner Homes Australia team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房、衣柜、木门需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"29","Simonds Homes","澳洲","Melbourne","https://www.simonds.com.au/","Builder","住宅 builder，厨房、衣柜、门类配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.simonds.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Simonds%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Simonds Homes 的公开业务与 住宅 builder，厨房、衣柜、门类配套 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Simonds Homes and custom cabinetry supply

Hi Simonds Homes team,

I noticed that Simonds Homes works with 住宅 builder，厨房、衣柜、门类配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Simonds Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房、衣柜、门类配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"30","Webb & Brown-Neaves","澳洲","Perth","https://www.wbhomes.com.au/","Builder / Designer","高端住宅 builder，厨房、衣柜、木门需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.wbhomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Webb%20%26%20Brown-Neaves","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Webb & Brown-Neaves 的公开业务与 高端住宅 builder，厨房、衣柜、木门需求 相关，客户类型为 Builder / Designer，适合按 B 级客户进入 CRM。","Subject: Webb & Brown-Neaves and custom cabinetry supply

Hi Webb & Brown-Neaves team,

I noticed that Webb & Brown-Neaves works with 高端住宅 builder，厨房、衣柜、木门需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Webb & Brown-Neaves team, this is [Your Name]. I saw that your company works with 高端住宅 builder，厨房、衣柜、木门需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"31","Laminex Australia","澳洲","National","https://www.laminex.com.au/","Builder Supplier / Distributor","板材、装饰面、橱柜材料","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.laminex.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Laminex%20Australia","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Laminex Australia 的公开业务与 板材、装饰面、橱柜材料 相关，客户类型为 Builder Supplier / Distributor，适合按 B 级客户进入 CRM。","Subject: Laminex Australia and custom cabinetry supply

Hi Laminex Australia team,

I noticed that Laminex Australia works with 板材、装饰面、橱柜材料. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Laminex Australia team, this is [Your Name]. I saw that your company works with 板材、装饰面、橱柜材料. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"32","Henley","澳洲","Melbourne","https://henley.com.au/","Builder","住宅建造、厨房、衣柜、木门需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://henley.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Henley","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","77","B","Henley 的公开业务与 住宅建造、厨房、衣柜、木门需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Henley and custom cabinetry supply

Hi Henley team,

I noticed that Henley works with 住宅建造、厨房、衣柜、木门需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Henley team, this is [Your Name]. I saw that your company works with 住宅建造、厨房、衣柜、木门需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
