"序号","公司名称","国家","城市","官网","客户类型","主营产品","产品匹配点","来源链接","WhatsApp状态","WhatsApp/电话","邮箱状态","邮箱","LinkedIn","联系人","职位","AI评分","优先级","AI分析","首封英文开发信","WhatsApp开场白","CRM状态","下次跟进时间","备注"
"33","Burbank","澳洲","Melbourne","https://www.burbank.com.au/","Builder","住宅建造、橱柜、衣柜、门类配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.burbank.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Burbank","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","77","B","Burbank 的公开业务与 住宅建造、橱柜、衣柜、门类配套 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Burbank and custom cabinetry supply

Hi Burbank team,

I noticed that Burbank works with 住宅建造、橱柜、衣柜、门类配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Burbank team, this is [Your Name]. I saw that your company works with 住宅建造、橱柜、衣柜、门类配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"34","Clarendon Homes","澳洲","Sydney","https://www.clarendon.com.au/","Builder","住宅 builder，厨房、衣柜、门类配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.clarendon.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Clarendon%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","77","B","Clarendon Homes 的公开业务与 住宅 builder，厨房、衣柜、门类配套 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Clarendon Homes and custom cabinetry supply

Hi Clarendon Homes team,

I noticed that Clarendon Homes works with 住宅 builder，厨房、衣柜、门类配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Clarendon Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房、衣柜、门类配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"35","Boutique Homes","澳洲","Melbourne","https://www.boutiquehomes.com.au/","Builder","住宅 builder，厨房、衣柜和门类需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.boutiquehomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Boutique%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","77","B","Boutique Homes 的公开业务与 住宅 builder，厨房、衣柜和门类需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Boutique Homes and custom cabinetry supply

Hi Boutique Homes team,

I noticed that Boutique Homes works with 住宅 builder，厨房、衣柜和门类需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Boutique Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房、衣柜和门类需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"36","Smith & Smith Kitchens","澳洲","Melbourne","https://www.smithandsmith.com.au/","Kitchen Company / Designer","定制厨房、橱柜","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.smithandsmith.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Smith%20%26%20Smith%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Smith & Smith Kitchens 的公开业务与 定制厨房、橱柜 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Smith & Smith Kitchens and custom cabinetry supply

Hi Smith & Smith Kitchens team,

I noticed that Smith & Smith Kitchens works with 定制厨房、橱柜. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Smith & Smith Kitchens team, this is [Your Name]. I saw that your company works with 定制厨房、橱柜. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"37","Zesta Kitchens","澳洲","Melbourne","https://www.zestakitchens.com.au/","Kitchen Company / Designer","厨房翻新、橱柜","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.zestakitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Zesta%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Zesta Kitchens 的公开业务与 厨房翻新、橱柜 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Zesta Kitchens and custom cabinetry supply

Hi Zesta Kitchens team,

I noticed that Zesta Kitchens works with 厨房翻新、橱柜. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Zesta Kitchens team, this is [Your Name]. I saw that your company works with 厨房翻新、橱柜. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"38","Joyce Kitchens","澳洲","Perth","https://www.joycekitchens.com.au/","Kitchen Company / Designer","厨房翻新、橱柜","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.joycekitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Joyce%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Joyce Kitchens 的公开业务与 厨房翻新、橱柜 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Joyce Kitchens and custom cabinetry supply

Hi Joyce Kitchens team,

I noticed that Joyce Kitchens works with 厨房翻新、橱柜. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Joyce Kitchens team, this is [Your Name]. I saw that your company works with 厨房翻新、橱柜. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"39","Rawson Homes","澳洲","Sydney","https://www.rawsonhomes.com.au/","Builder","新房 builder，厨房和收纳空间配置","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.rawsonhomes.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Rawson%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Rawson Homes 的公开业务与 新房 builder，厨房和收纳空间配置 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Rawson Homes and custom cabinetry supply

Hi Rawson Homes team,

I noticed that Rawson Homes works with 新房 builder，厨房和收纳空间配置. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Rawson Homes team, this is [Your Name]. I saw that your company works with 新房 builder，厨房和收纳空间配置. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"40","Coral Homes","澳洲","Queensland","https://coralhomes.com.au/","Builder","住宅 builder，厨房、衣柜、门类配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://coralhomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Coral%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Coral Homes 的公开业务与 住宅 builder，厨房、衣柜、门类配套 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Coral Homes and custom cabinetry supply

Hi Coral Homes team,

I noticed that Coral Homes works with 住宅 builder，厨房、衣柜、门类配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Coral Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房、衣柜、门类配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"41","Hotondo Homes","澳洲","National","https://hotondo.com.au/","Builder","住宅 builder，固定柜类和门类需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://hotondo.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Hotondo%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Hotondo Homes 的公开业务与 住宅 builder，固定柜类和门类需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Hotondo Homes and custom cabinetry supply

Hi Hotondo Homes team,

I noticed that Hotondo Homes works with 住宅 builder，固定柜类和门类需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Hotondo Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，固定柜类和门类需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"42","Eden Brae Homes","澳洲","Sydney","https://edenbraehomes.com.au/","Builder","住宅 builder，厨房和收纳配置","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://edenbraehomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Eden%20Brae%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Eden Brae Homes 的公开业务与 住宅 builder，厨房和收纳配置 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Eden Brae Homes and custom cabinetry supply

Hi Eden Brae Homes team,

I noticed that Eden Brae Homes works with 住宅 builder，厨房和收纳配置. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Eden Brae Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，厨房和收纳配置. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"43","Wisdom Homes","澳洲","Sydney","https://wisdomhomes.com.au/","Builder","住宅 builder，固定家具和收纳需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://wisdomhomes.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Wisdom%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","Wisdom Homes 的公开业务与 住宅 builder，固定家具和收纳需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Wisdom Homes and custom cabinetry supply

Hi Wisdom Homes team,

I noticed that Wisdom Homes works with 住宅 builder，固定家具和收纳需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Wisdom Homes team, this is [Your Name]. I saw that your company works with 住宅 builder，固定家具和收纳需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"44","IKEA Australia","澳洲","National","https://www.ikea.com/au/en/","Retailer / Importer","厨房、衣柜、家居家具","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.ikea.com/au/en/customer-service/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=IKEA%20Australia","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","76","B","IKEA Australia 的公开业务与 厨房、衣柜、家居家具 相关，客户类型为 Retailer / Importer，适合按 B 级客户进入 CRM。","Subject: IKEA Australia and custom cabinetry supply

Hi IKEA Australia team,

I noticed that IKEA Australia works with 厨房、衣柜、家居家具. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi IKEA Australia team, this is [Your Name]. I saw that your company works with 厨房、衣柜、家居家具. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"45","Dan Kitchens","澳洲","Sydney","https://www.dankitchens.com.au/","Kitchen Company / Designer","高端厨房、定制 joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.dankitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Dan%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","78","B","Dan Kitchens 的公开业务与 高端厨房、定制 joinery 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Dan Kitchens and custom cabinetry supply

Hi Dan Kitchens team,

I noticed that Dan Kitchens works with 高端厨房、定制 joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Dan Kitchens team, this is [Your Name]. I saw that your company works with 高端厨房、定制 joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"46","Corinthian Doors","澳洲","National","https://www.corinthian.com.au/","Door Company / Builder Supplier","室内门、入户门","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.corinthian.com.au/contact-us/","未公开WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Corinthian%20Doors","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","73","C","Corinthian Doors 的公开业务与 室内门、入户门 相关，客户类型为 Door Company / Builder Supplier，适合按 C 级客户进入 CRM。","Subject: Corinthian Doors and custom cabinetry supply

Hi Corinthian Doors team,

I noticed that Corinthian Doors works with 室内门、入户门. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Corinthian Doors team, this is [Your Name]. I saw that your company works with 室内门、入户门. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","New","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"47","Hume Doors & Timber","澳洲","National","https://www.humedoors.com.au/","Door Company / Builder Supplier","木门、timber 产品","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.humedoors.com.au/contact-us/","未公开WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Hume%20Doors%20%26%20Timber","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","74","C","Hume Doors & Timber 的公开业务与 木门、timber 产品 相关，客户类型为 Door Company / Builder Supplier，适合按 C 级客户进入 CRM。","Subject: Hume Doors & Timber and custom cabinetry supply

Hi Hume Doors & Timber team,

I noticed that Hume Doors & Timber works with 木门、timber 产品. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Hume Doors & Timber team, this is [Your Name]. I saw that your company works with 木门、timber 产品. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","New","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"48","Doors Plus","澳洲","National","https://www.doorsplus.com.au/","Door Company / Retailer","门类零售和安装","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.doorsplus.com.au/contact-us/","未公开WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Doors%20Plus","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","72","C","Doors Plus 的公开业务与 门类零售和安装 相关，客户类型为 Door Company / Retailer，适合按 C 级客户进入 CRM。","Subject: Doors Plus and custom cabinetry supply

Hi Doors Plus team,

I noticed that Doors Plus works with 门类零售和安装. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Doors Plus team, this is [Your Name]. I saw that your company works with 门类零售和安装. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","New","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"49","Trend Windows & Doors","澳洲","National","https://www.trendwindows.com.au/","Builder Supplier","门窗、建筑配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.trendwindows.com.au/contact-us/","未公开WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Trend%20Windows%20%26%20Doors","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","68","C","Trend Windows & Doors 的公开业务与 门窗、建筑配套 相关，客户类型为 Builder Supplier，适合按 C 级客户进入 CRM。","Subject: Trend Windows & Doors and custom cabinetry supply

Hi Trend Windows & Doors team,

I noticed that Trend Windows & Doors works with 门窗、建筑配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Trend Windows & Doors team, this is [Your Name]. I saw that your company works with 门窗、建筑配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","New","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"50","Wideline","澳洲","NSW","https://wideline.com.au/","Builder Supplier","门窗和住宅建材配套","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://wideline.com.au/contact-us/","未公开WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Wideline","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","67","C","Wideline 的公开业务与 门窗和住宅建材配套 相关，客户类型为 Builder Supplier，适合按 C 级客户进入 CRM。","Subject: Wideline and custom cabinetry supply

Hi Wideline team,

I noticed that Wideline works with 门窗和住宅建材配套. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Wideline team, this is [Your Name]. I saw that your company works with 门窗和住宅建材配套. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","New","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"